Year,Year Code,Country Name,Country Code,Capital health expenditure (% of GDP) [SH.XPD.KHEX.GD.ZS],"Community health workers (per 1,000 people) [SH.MED.CMHW.P3]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS],"Hospital beds (per 1,000 people) [SH.MED.BEDS.ZS]",Out-of-pocket expenditure per capita (current US$) [SH.XPD.OOPC.PC.CD],People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],People using safely managed sanitation services (% of population) [SH.STA.SMSS.ZS],People with basic handwashing facilities including soap and water (% of population) [SH.STA.HYGN.ZS],Population ages 65 and above (% of total population) [SP.POP.65UP.TO.ZS],Proportion of population spending more than 10% of household consumption or income on out-of-pocket health care expenditure (%) [SH.UHC.OOPC.10.ZS],Proportion of population spending more than 25% of household consumption or income on out-of-pocket health care expenditure (%) [SH.UHC.OOPC.25.ZS]
2016,YR2016,China,CHN,0.61808875,..,4.98188075,398.33155573,2.89025126,..,143.02566618,83.2351730239196,68.2467884522588,..,9.80263113886186,..,..
2016,YR2016,France,FRA,0.58439191,..,11.53929503,4263.36156106,9.56559676,..,415.94394399,98.6508061199955,88.3720689819745,..,19.2841249271119,..,..
2016,YR2016,Germany,DEU,..,..,11.13916763,4714.2608733,9.43162482,..,585.02057791,99.2249259262689,97.2305733379113,..,21.288710112426,..,..
2016,YR2016,"Iran, Islamic Rep.",IRN,..,..,8.10277065,415.39119979,4.41807148,..,161.14568568,88.3552590553333,..,..,5.91456896410762,..,..
2016,YR2016,Italy,ITA,..,..,8.93549301,2738.70612439,6.65374499,..,632.79735852,98.7718901962979,96.2032130630306,..,22.2348608856856,..,..
2016,YR2016,Japan,JPN,..,..,10.92612327,4233.0332764,9.13267407,..,569.43225333,99.9024173222271,98.8008105881152,..,26.5918165131425,..,..
2016,YR2016,"Korea, Rep.",KOR,..,..,7.33752488,2043.86063994,4.34050531,..,680.81667604,100,99.8611113650301,..,13.3379401871474,..,..
2016,YR2016,Spain,ESP,..,..,8.97038932,2389.88740785,6.39032348,..,569.42344714,99.9042864325663,96.6202298628794,..,18.9105406468308,..,..
2016,YR2016,Switzerland,CHE,..,..,12.24760438,9835.96368572,7.68887756,..,2907.68387141,99.8903626469298,99.5390052221761,..,18.2289036991655,..,..
2016,YR2016,United States,USA,0.58926608,..,17.07341533,9869.74238174,13.97379764,..,1094.2265076,99.9698121431811,89.906899193335,..,15.0336787501808,..,..
2017,YR2017,China,CHN,..,..,..,..,..,..,..,84.7607877105451,72.0822720245711,..,10.3451204570585,..,..
2017,YR2017,France,FRA,..,..,..,..,..,..,..,98.6500115526393,88.371357205017,..,19.6689967687709,..,..
2017,YR2017,Germany,DEU,..,..,..,..,..,..,..,99.2250375649813,97.2331982575299,..,21.3714880478767,..,..
2017,YR2017,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,88.4218671015005,..,..,6.03870523995975,..,..
2017,YR2017,Italy,ITA,..,..,..,..,..,..,..,98.7724326744163,96.2080135672536,..,22.4996889509015,..,..
2017,YR2017,Japan,JPN,..,..,..,..,..,..,..,99.8947075676591,98.7603578365802,..,27.1094794248515,..,..
2017,YR2017,"Korea, Rep.",KOR,..,..,..,..,..,..,..,100,99.904308772177,..,13.8522477555421,..,..
2017,YR2017,Spain,ESP,..,..,..,..,..,..,..,99.9042308892552,96.6201761453896,..,19.1458487271796,..,..
2017,YR2017,Switzerland,CHE,..,..,..,..,..,..,..,99.8903735152104,99.5393104753731,..,18.4308671298436,..,..
2017,YR2017,United States,USA,..,..,..,..,..,..,..,99.9700187653163,89.9669981106111,..,15.4193658960742,..,..
2018,YR2018,China,CHN,..,..,..,..,..,..,..,..,..,..,10.9208835350654,..,..
2018,YR2018,France,FRA,..,..,..,..,..,..,..,..,..,..,20.0346247469881,..,..
2018,YR2018,Germany,DEU,..,..,..,..,..,..,..,..,..,..,21.4619619953309,..,..
2018,YR2018,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,6.18457380562499,..,..
2018,YR2018,Italy,ITA,..,..,..,..,..,..,..,..,..,..,22.7516796025077,..,..
2018,YR2018,Japan,JPN,..,..,..,..,..,..,..,..,..,..,27.576369910355,..,..
2018,YR2018,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,14.4185558323969,..,..
2018,YR2018,Spain,ESP,..,..,..,..,..,..,..,..,..,..,19.3785075224995,..,..
2018,YR2018,Switzerland,CHE,..,..,..,..,..,..,..,..,..,..,18.6232165647717,..,..
2018,YR2018,United States,USA,..,..,..,..,..,..,..,..,..,..,15.8076540556035,..,..
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Data from database: Health Nutrition and Population Statistics,,,,,,,,,,,,,,,,
Last Updated: 12/20/2019,,,,,,,,,,,,,,,,
